budget,centered_discrepancy,discovered_bug_classes,method,min_pairwise_distance,python_peak_memory_kib,runtime_seconds,seed,total_hits
512,0.11058570014188529,5,rdt_cover,1.0,26963.6552734375,0.04551733401603997,0,67
512,0.027463758394639992,5,rdt_hybrid_cover,1.0,26963.6552734375,0.033817749994341284,0,61
512,0.001579005939992939,2,random_uniform,4153.66272007598,26963.6552734375,0.00016487500397488475,0,27
512,2.9140796813376113e-06,2,sobol,12120.143628254096,26963.6552734375,0.000520125002367422,0,23
512,0.00011477507402535281,1,latin_hypercube,2318.5170410601354,26963.6552734375,0.0009696659981273115,0,19
512,0.022169860751790837,5,hypothesis_targeted,0.00745335634044129,26963.6552734375,1.0627456250076648,0,295
512,0.11143498873455582,5,rdt_cover,1.0,36495.41796875,0.06476874998770654,1,73
512,0.029897802352635505,5,rdt_hybrid_cover,1.0,36495.41796875,0.02218983302009292,1,68
512,0.00043294762716494795,2,random_uniform,1867.1785915255239,36495.41796875,0.00013337499694898725,1,24
512,2.9134136683151013e-06,2,sobol,25126.60137642324,36495.41796875,0.0006229999999050051,1,23
512,5.3713390587128984e-05,2,latin_hypercube,5615.234899703467,36495.41796875,0.0004043330263812095,1,22
512,0.019566918688004087,5,hypothesis_targeted,0.00745335634044129,36495.41796875,0.854837042017607,1,295
512,0.10919306747996216,5,rdt_cover,1.0,46064.1240234375,0.04912462498759851,2,65
512,0.028120644265630768,5,rdt_hybrid_cover,1.0,46064.1240234375,0.021277332998579368,2,59
512,0.0010178360612780324,2,random_uniform,3048.960307678601,46064.1240234375,0.00020858299103565514,2,24
512,2.9158827168362933e-06,2,sobol,14235.009762786794,46064.1240234375,0.0005270830006338656,2,23
512,9.590345354504315e-05,2,latin_hypercube,6451.562753627698,46064.1240234375,0.002231332997325808,2,23
512,0.019273528653881877,5,hypothesis_targeted,0.00745335634044129,46064.1240234375,0.8111735830025282,2,293
512,0.10695821834798735,5,rdt_cover,1.0,55629.505859375,0.04831079198629595,3,65
512,0.02648409170970334,5,rdt_hybrid_cover,1.0,55629.505859375,0.020179874991299585,3,61
512,0.00025948254025154327,2,random_uniform,3910.308991462968,55629.505859375,0.00012004200834780931,3,23
512,2.9140136075245238e-06,2,sobol,14563.557762875345,55629.505859375,0.0004710420034825802,3,25
512,3.918192658636244e-05,1,latin_hypercube,8555.252967673961,55629.505859375,0.00044829200487583876,3,22
512,0.021866533178620973,5,hypothesis_targeted,0.00745335634044129,55629.505859375,0.8495130420196801,3,296
512,0.10743907278505649,5,rdt_cover,1.0,61798.646484375,0.05027045798487961,4,72
512,0.026363804064308383,5,rdt_hybrid_cover,1.0,61798.646484375,0.022533667011884972,4,68
512,0.0008057603089834942,2,random_uniform,1504.818399816635,61798.646484375,0.00015083298785611987,4,28
512,2.9035654431908142e-06,2,sobol,14555.864161995576,61798.646484375,0.0005097910179756582,4,22
512,8.493904201545277e-05,1,latin_hypercube,8055.975454031464,61798.646484375,0.0017687500221654773,4,23
512,0.0181511519593629,5,hypothesis_targeted,0.00745335634044129,61798.646484375,0.8371808750089258,4,294
